mOTU2.0_cluster	mOTU2.0_cluster_name	mOTU2.0_cluster_id	Anaerobic	Aerotolerant	Facultative_aerobic	Microaerophilic	Aerobic
Methylomonas denitrificans [ref_mOTU_v2_3654]	Methylomonas denitrificans 	ref_mOTU_v2_3654	0	0	0	0	1
Methylomonas methanica [ref_mOTU_v2_4999]	Methylomonas methanica 	ref_mOTU_v2_4999	0	0	0	0	0
Methylophaga aminisulfidivorans [meta_mOTU_v2_5732]	Methylophaga aminisulfidivorans 	meta_mOTU_v2_5732	#N/A	#N/A	#N/A	#N/A	#N/A
Methylophaga aminisulfidivorans [ref_mOTU_v2_1580]	Methylophaga aminisulfidivorans 	ref_mOTU_v2_1580	0	0	0	0	0
Methylophaga frappieri [ref_mOTU_v2_4921]	Methylophaga frappieri 	ref_mOTU_v2_4921	0	0	0	0	1
Methylophaga lonarensis [ref_mOTU_v2_2924]	Methylophaga lonarensis 	ref_mOTU_v2_2924	0	0	0	0	0
Methylophaga nitratireducenticrescens [ref_mOTU_v2_4920]	Methylophaga nitratireducenticrescens 	ref_mOTU_v2_4920	0	0	1	0	0
Methylophaga thiooxydans [ref_mOTU_v2_1364]	Methylophaga thiooxydans 	ref_mOTU_v2_1364	0	0	0	0	1
Methylophilales bacterium HTCC2181 [ref_mOTU_v2_4115]	Methylophilales bacterium HTCC2181 	ref_mOTU_v2_4115	0	0	0	0	0
Methylophilus methylotrophus [ref_mOTU_v2_2062]	Methylophilus methylotrophus 	ref_mOTU_v2_2062	0	0	0	0	0
Methylophilus sp. [ref_mOTU_v2_0404]	Methylophilus sp. 	ref_mOTU_v2_0404	0	0	0	0	1
Methylophilus sp. 5 [ref_mOTU_v2_1802]	Methylophilus sp. 5 	ref_mOTU_v2_1802	0	0	0	0	1
Methylopila sp. 73B [ref_mOTU_v2_1830]	Methylopila sp. 73B 	ref_mOTU_v2_1830	0	0	0	0	1
Methylopila sp. M107 [ref_mOTU_v2_1766]	Methylopila sp. M107 	ref_mOTU_v2_1766	0	0	0	0	1
Methylosarcina fibrata [ref_mOTU_v2_2264]	Methylosarcina fibrata 	ref_mOTU_v2_2264	0	0	0	0	0
Methylosarcina lacus [ref_mOTU_v2_1803]	Methylosarcina lacus 	ref_mOTU_v2_1803	0	0	0	0	0
Methylosinus sp. LW4 [ref_mOTU_v2_3146]	Methylosinus sp. LW4 	ref_mOTU_v2_3146	0	0	0	0	0
Methylosinus sp. PW1 [ref_mOTU_v2_1703]	Methylosinus sp. PW1 	ref_mOTU_v2_1703	0	0	0	0	0
Methylosinus trichosporium [ref_mOTU_v2_4609]	Methylosinus trichosporium 	ref_mOTU_v2_4609	0	0	0	0	1
Methylotenera mobilis [ref_mOTU_v2_2267]	Methylotenera mobilis 	ref_mOTU_v2_2267	0	0	0	0	0
Methylotenera mobilis [ref_mOTU_v2_4566]	Methylotenera mobilis 	ref_mOTU_v2_4566	0	0	0	0	1
Methylotenera sp. 1P/1 [ref_mOTU_v2_0370]	Methylotenera sp. 1P/1 	ref_mOTU_v2_0370	0	0	0	0	0
Methylotenera sp. 73s [ref_mOTU_v2_0412]	Methylotenera sp. 73s 	ref_mOTU_v2_0412	0	0	0	0	0
Methylotenera sp. L2L1 [ref_mOTU_v2_3599]	Methylotenera sp. L2L1 	ref_mOTU_v2_3599	0	0	0	0	0
Methylotenera versatilis [ref_mOTU_v2_4741]	Methylotenera versatilis 	ref_mOTU_v2_4741	0	0	0	0	1
Methyloversatilis discipulorum [ref_mOTU_v2_0433]	Methyloversatilis discipulorum 	ref_mOTU_v2_0433	0	0	0	0	0
Methyloversatilis discipulorum [ref_mOTU_v2_5270]	Methyloversatilis discipulorum 	ref_mOTU_v2_5270	0	0	0	0	0
Methyloversatilis thermotolerans [ref_mOTU_v2_1817]	Methyloversatilis thermotolerans 	ref_mOTU_v2_1817	0	0	0	0	0
Methyloversatilis universalis [ref_mOTU_v2_0002]	Methyloversatilis universalis 	ref_mOTU_v2_0002	0	0	0	0	0
Methyloversatilis universalis [ref_mOTU_v2_5303]	Methyloversatilis universalis 	ref_mOTU_v2_5303	0	0	0	0	0
Methylovorus glucosotrophus [ref_mOTU_v2_1449]	Methylovorus glucosotrophus 	ref_mOTU_v2_1449	0	0	0	0	1
Micavibrio aeruginosavorus [ref_mOTU_v2_4053]	Micavibrio aeruginosavorus 	ref_mOTU_v2_4053	0	0	0	0	0
Micavibrio aeruginosavorus [ref_mOTU_v2_4996]	Micavibrio aeruginosavorus 	ref_mOTU_v2_4996	0	0	0	0	0
Microbacteriaceae bacterium [meta_mOTU_v2_7308]	Microbacteriaceae bacterium 	meta_mOTU_v2_7308	#N/A	#N/A	#N/A	#N/A	#N/A
Microbacteriaceae sp. [ref_mOTU_v2_0630]	Microbacteriaceae sp. 	ref_mOTU_v2_0630	0	0	0	0	0
Microbacterium barkeri [ref_mOTU_v2_2483]	Microbacterium barkeri 	ref_mOTU_v2_2483	0	0	0	0	1
Microbacterium gubbeenense [ref_mOTU_v2_2063]	Microbacterium gubbeenense 	ref_mOTU_v2_2063	0	0	1	0	0
Microbacterium indicum [ref_mOTU_v2_2064]	Microbacterium indicum 	ref_mOTU_v2_2064	0	0	1	0	0
Microbacterium luticocti [ref_mOTU_v2_2065]	Microbacterium luticocti 	ref_mOTU_v2_2065	0	0	1	0	0
Microbacterium maritypicum [ref_mOTU_v2_1068]	Microbacterium maritypicum 	ref_mOTU_v2_1068	0	0	0	0	1
Microbacterium oleivorans [ref_mOTU_v2_3876]	Microbacterium oleivorans 	ref_mOTU_v2_3876	0	0	1	0	0
Microbacterium paraoxydans [ref_mOTU_v2_0641]	Microbacterium paraoxydans 	ref_mOTU_v2_0641	0	0	1	0	0
Microbacterium paraoxydans [ref_mOTU_v2_3367]	Microbacterium paraoxydans 	ref_mOTU_v2_3367	0	0	1	0	0
Microbacterium profundi [ref_mOTU_v2_4277]	Microbacterium profundi 	ref_mOTU_v2_4277	0	0	1	0	0
Microbacterium sp. [ref_mOTU_v2_0766]	Microbacterium sp. 	ref_mOTU_v2_0766	0	0	1	0	0
Microbacterium sp. 292MF [ref_mOTU_v2_2326]	Microbacterium sp. 292MF 	ref_mOTU_v2_2326	0	0	1	0	0
Microbacterium sp. 67-17 [meta_mOTU_v2_6129]	Microbacterium sp. 67-17 	meta_mOTU_v2_6129	#N/A	#N/A	#N/A	#N/A	#N/A
Microbacterium sp. C448 [ref_mOTU_v2_2413]	Microbacterium sp. C448 	ref_mOTU_v2_2413	0	0	1	0	0
Microbacterium sp. CH12i [ref_mOTU_v2_3555]	Microbacterium sp. CH12i 	ref_mOTU_v2_3555	0	0	1	0	0
Microbacterium sp. Cr-K20 [ref_mOTU_v2_1199]	Microbacterium sp. Cr-K20 	ref_mOTU_v2_1199	0	0	0	0	1
Microbacterium sp. TS-1 [ref_mOTU_v2_3102]	Microbacterium sp. TS-1 	ref_mOTU_v2_3102	0	0	1	0	0
Microbacterium sp. UCD-TDU [ref_mOTU_v2_2776]	Microbacterium sp. UCD-TDU 	ref_mOTU_v2_2776	0	0	1	0	0
Microbacterium sp. UNCCL10 [ref_mOTU_v2_1075]	Microbacterium sp. UNCCL10 	ref_mOTU_v2_1075	0	0	1	0	0
Microbacterium sp. URHA0036 [ref_mOTU_v2_2974]	Microbacterium sp. URHA0036 	ref_mOTU_v2_2974	0	0	1	0	0
Microbacterium testaceum [ref_mOTU_v2_5262]	Microbacterium testaceum 	ref_mOTU_v2_5262	0	0	0	0	1
Microbacterium yannicii [ref_mOTU_v2_2466]	Microbacterium yannicii 	ref_mOTU_v2_2466	0	0	0	0	1
Microbispora rosea [ref_mOTU_v2_3531]	Microbispora rosea 	ref_mOTU_v2_3531	0	0	0	0	0
Microbispora sp. ATCC PTA-5024 [ref_mOTU_v2_3977]	Microbispora sp. ATCC PTA-5024 	ref_mOTU_v2_3977	0	0	0	0	1
Microbulbifer agarilyticus [ref_mOTU_v2_1647]	Microbulbifer agarilyticus 	ref_mOTU_v2_1647	0	0	0	0	0
Microbulbifer sp. HZ11 [ref_mOTU_v2_3476]	Microbulbifer sp. HZ11 	ref_mOTU_v2_3476	0	0	0	0	0
Microbulbifer variabilis [ref_mOTU_v2_2874]	Microbulbifer variabilis 	ref_mOTU_v2_2874	0	0	0	0	0
Micrococcaceae sp. [ref_mOTU_v2_0431]	Micrococcaceae sp. 	ref_mOTU_v2_0431	0	0	0	0	1
Micrococcus luteus [ref_mOTU_v2_0964]	Micrococcus luteus 	ref_mOTU_v2_0964	0	0	0	0	1
Micrococcus luteus [ref_mOTU_v2_2691]	Micrococcus luteus 	ref_mOTU_v2_2691	0	0	0	0	1
Microcoleus sp. PCC 7113 [ref_mOTU_v2_2399]	Microcoleus sp. PCC 7113 	ref_mOTU_v2_2399	1	0	0	0	0
Microcoleus vaginatus [ref_mOTU_v2_4925]	Microcoleus vaginatus 	ref_mOTU_v2_4925	0	0	0	0	0
Microcystis aeruginosa [ref_mOTU_v2_0580]	Microcystis aeruginosa 	ref_mOTU_v2_0580	0	0	0	0	1
Microgenomates sp. [ref_mOTU_v2_4831]	Microgenomates sp. 	ref_mOTU_v2_4831	0	0	0	0	0
Microlunatus phosphovorus [ref_mOTU_v2_1590]	Microlunatus phosphovorus 	ref_mOTU_v2_1590	0	0	0	0	0
Micromonas pusilla [meta_mOTU_v2_5861]	Micromonas pusilla 	meta_mOTU_v2_5861	#N/A	#N/A	#N/A	#N/A	#N/A
Micromonas pusilla [meta_mOTU_v2_6269]	Micromonas pusilla 	meta_mOTU_v2_6269	#N/A	#N/A	#N/A	#N/A	#N/A
Micromonas pusilla [meta_mOTU_v2_6550]	Micromonas pusilla 	meta_mOTU_v2_6550	#N/A	#N/A	#N/A	#N/A	#N/A
Micromonospora chokoriensis/parva [ref_mOTU_v2_1230]	Micromonospora chokoriensis/parva 	ref_mOTU_v2_1230	0	0	0	0	0
Micromonospora lupini [ref_mOTU_v2_2321]	Micromonospora lupini 	ref_mOTU_v2_2321	0	0	0	0	1
Micromonospora sp. [ref_mOTU_v2_0699]	Micromonospora sp. 	ref_mOTU_v2_0699	0	0	0	0	1
Micromonospora sp. ATCC 39149 [ref_mOTU_v2_3780]	Micromonospora sp. ATCC 39149 	ref_mOTU_v2_3780	0	0	0	0	1
Microscilla marina [ref_mOTU_v2_3939]	Microscilla marina 	ref_mOTU_v2_3939	0	0	0	0	1
Microvirga aerilata [ref_mOTU_v2_4753]	Microvirga aerilata 	ref_mOTU_v2_4753	0	0	0	0	0
Microvirga flocculans [ref_mOTU_v2_3080]	Microvirga flocculans 	ref_mOTU_v2_3080	0	0	0	0	0
Microvirga lotononidis [ref_mOTU_v2_5022]	Microvirga lotononidis 	ref_mOTU_v2_5022	0	0	0	0	0
Microvirga lupini [ref_mOTU_v2_4223]	Microvirga lupini 	ref_mOTU_v2_4223	0	0	0	0	1
Microvirgula aerodenitrificans [ref_mOTU_v2_2066]	Microvirgula aerodenitrificans 	ref_mOTU_v2_2066	0	0	0	0	0
Mitsuokella jalaludinii [ref_mOTU_v2_3339]	Mitsuokella jalaludinii 	ref_mOTU_v2_3339	0	0	0	0	0
Mitsuokella multacida [ref_mOTU_v2_4368]	Mitsuokella multacida 	ref_mOTU_v2_4368	1	0	0	0	0
Mitsuokella sp. [ref_mOTU_v2_3042]	Mitsuokella sp. 	ref_mOTU_v2_3042	0	0	0	0	0
Mobilicoccus pelagius [ref_mOTU_v2_1727]	Mobilicoccus pelagius 	ref_mOTU_v2_1727	0	0	1	0	0
Mobiluncus curtisii [ref_mOTU_v2_1436]	Mobiluncus curtisii 	ref_mOTU_v2_1436	1	0	0	0	0
Mobiluncus mulieris [ref_mOTU_v2_1450]	Mobiluncus mulieris 	ref_mOTU_v2_1450	1	0	0	0	0
Modestobacter caceresii [ref_mOTU_v2_3630]	Modestobacter caceresii 	ref_mOTU_v2_3630	0	0	0	0	0
Modestobacter marinus [ref_mOTU_v2_4328]	Modestobacter marinus 	ref_mOTU_v2_4328	0	0	0	0	0
Mogibacterium timidum [ref_mOTU_v2_1136]	Mogibacterium timidum 	ref_mOTU_v2_1136	0	0	0	0	0
Mollicutes sp. [ref_mOTU_v2_3662]	Mollicutes sp. 	ref_mOTU_v2_3662	1	0	0	0	0
Mollicutes sp. [ref_mOTU_v2_3663]	Mollicutes sp. 	ref_mOTU_v2_3663	0	0	0	0	0
Moorea producens [ref_mOTU_v2_4352]	Moorea producens 	ref_mOTU_v2_4352	0	0	0	0	0
Moorella thermoacetica [ref_mOTU_v2_1059]	Moorella thermoacetica 	ref_mOTU_v2_1059	1	0	0	0	0
Moraxella boevrei [ref_mOTU_v2_2067]	Moraxella boevrei 	ref_mOTU_v2_2067	0	0	0	0	1
Moraxella bovoculi [ref_mOTU_v2_4895]	Moraxella bovoculi 	ref_mOTU_v2_4895	0	0	0	0	1
Moraxella caprae [ref_mOTU_v2_2068]	Moraxella caprae 	ref_mOTU_v2_2068	0	0	0	0	1
Moraxella catarrhalis [ref_mOTU_v2_0914]	Moraxella catarrhalis 	ref_mOTU_v2_0914	0	0	0	0	1
Moraxella macacae [ref_mOTU_v2_2661]	Moraxella macacae 	ref_mOTU_v2_2661	0	0	0	0	1
Morganella morganii [ref_mOTU_v2_0545]	Morganella morganii 	ref_mOTU_v2_0545	1	0	0	0	0
Moritella dasanensis [ref_mOTU_v2_2495]	Moritella dasanensis 	ref_mOTU_v2_2495	0	0	0	0	0
Moritella marina [ref_mOTU_v2_0763]	Moritella marina 	ref_mOTU_v2_0763	0	0	1	0	0
Moritella sp. PE36 [ref_mOTU_v2_4560]	Moritella sp. PE36 	ref_mOTU_v2_4560	0	0	1	0	0
Mucilaginibacter paludis [ref_mOTU_v2_4860]	Mucilaginibacter paludis 	ref_mOTU_v2_4860	0	0	1	0	0
Mucinivorans hirudinis [ref_mOTU_v2_3403]	Mucinivorans hirudinis 	ref_mOTU_v2_3403	0	0	0	0	0
Mucispirillum schaedleri [ref_mOTU_v2_3159]	Mucispirillum schaedleri 	ref_mOTU_v2_3159	0	0	0	0	0
Muricauda ruestringensis [ref_mOTU_v2_5097]	Muricauda ruestringensis 	ref_mOTU_v2_5097	0	0	0	0	0
Muricauda sp. MAR_2010_75 [ref_mOTU_v2_2791]	Muricauda sp. MAR_2010_75 	ref_mOTU_v2_2791	0	0	0	0	0
Mycetocola saprophilus [ref_mOTU_v2_4958]	Mycetocola saprophilus 	ref_mOTU_v2_4958	0	0	0	0	0
Mycobacterium abscessus/fortuitum [ref_mOTU_v2_0019]	Mycobacterium abscessus/fortuitum 	ref_mOTU_v2_0019	0	0	0	0	1
Mycobacterium aromaticivorans [ref_mOTU_v2_3414]	Mycobacterium aromaticivorans 	ref_mOTU_v2_3414	0	0	0	0	1
Mycobacterium asiaticum [ref_mOTU_v2_2808]	Mycobacterium asiaticum 	ref_mOTU_v2_2808	0	0	0	0	1
Mycobacterium austroafricanum/vanbaalenii [ref_mOTU_v2_1353]	Mycobacterium austroafricanum/vanbaalenii 	ref_mOTU_v2_1353	0	0	0	0	1
Mycobacterium avium [ref_mOTU_v2_0103]	Mycobacterium avium 	ref_mOTU_v2_0103	0	0	0	0	1
Mycobacterium chubuense [ref_mOTU_v2_4849]	Mycobacterium chubuense 	ref_mOTU_v2_4849	0	0	0	0	1
Mycobacterium colombiense/tuberculosis [ref_mOTU_v2_0178]	Mycobacterium colombiense/tuberculosis 	ref_mOTU_v2_0178	0	0	0	0	1
Mycobacterium cosmeticum [ref_mOTU_v2_1104]	Mycobacterium cosmeticum 	ref_mOTU_v2_1104	0	0	0	0	1
Mycobacterium farcinogenes [ref_mOTU_v2_3720]	Mycobacterium farcinogenes 	ref_mOTU_v2_3720	0	0	0	0	1
Mycobacterium fortuitum [ref_mOTU_v2_0800]	Mycobacterium fortuitum 	ref_mOTU_v2_0800	0	0	0	0	1
Mycobacterium genavense [ref_mOTU_v2_3314]	Mycobacterium genavense 	ref_mOTU_v2_3314	0	0	0	0	1
Mycobacterium gilvum [ref_mOTU_v2_1323]	Mycobacterium gilvum 	ref_mOTU_v2_1323	0	0	0	0	1
Mycobacterium hassiacum [ref_mOTU_v2_0503]	Mycobacterium hassiacum 	ref_mOTU_v2_0503	0	0	0	0	1
Mycobacterium iranicum [ref_mOTU_v2_3150]	Mycobacterium iranicum 	ref_mOTU_v2_3150	0	0	0	0	1
Mycobacterium kansasii [ref_mOTU_v2_1019]	Mycobacterium kansasii 	ref_mOTU_v2_1019	0	0	0	0	1
Mycobacterium kansasii [ref_mOTU_v2_2984]	Mycobacterium kansasii 	ref_mOTU_v2_2984	0	0	0	0	1
Mycobacterium leprae [ref_mOTU_v2_1320]	Mycobacterium leprae 	ref_mOTU_v2_1320	0	0	0	0	1
Mycobacterium mageritense [ref_mOTU_v2_2544]	Mycobacterium mageritense 	ref_mOTU_v2_2544	0	0	0	0	1
Mycobacterium neoaurum [ref_mOTU_v2_0950]	Mycobacterium neoaurum 	ref_mOTU_v2_0950	0	0	0	0	1
Mycobacterium neoaurum [ref_mOTU_v2_0966]	Mycobacterium neoaurum 	ref_mOTU_v2_0966	0	0	0	0	1
Mycobacterium parascrofulaceum [ref_mOTU_v2_4426]	Mycobacterium parascrofulaceum 	ref_mOTU_v2_4426	0	0	0	0	1
Mycobacterium phlei [ref_mOTU_v2_2317]	Mycobacterium phlei 	ref_mOTU_v2_2317	0	0	0	0	1
Mycobacterium rhodesiae [ref_mOTU_v2_4850]	Mycobacterium rhodesiae 	ref_mOTU_v2_4850	0	0	0	0	1
Mycobacterium rhodesiae [ref_mOTU_v2_5187]	Mycobacterium rhodesiae 	ref_mOTU_v2_5187	0	0	0	0	1
Mycobacterium rufum [ref_mOTU_v2_3985]	Mycobacterium rufum 	ref_mOTU_v2_3985	0	0	0	0	1
Mycobacterium septicum [ref_mOTU_v2_3092]	Mycobacterium septicum 	ref_mOTU_v2_3092	0	0	0	0	1
Mycobacterium sinense [ref_mOTU_v2_5053]	Mycobacterium sinense 	ref_mOTU_v2_5053	0	0	0	0	1
Mycobacterium smegmatis [ref_mOTU_v2_0805]	Mycobacterium smegmatis 	ref_mOTU_v2_0805	0	0	0	0	1
Mycobacterium sp. [ref_mOTU_v2_0102]	Mycobacterium sp. 	ref_mOTU_v2_0102	0	0	0	0	1
Mycobacterium sp. [ref_mOTU_v2_0571]	Mycobacterium sp. 	ref_mOTU_v2_0571	0	0	0	0	1
Mycobacterium sp. [ref_mOTU_v2_0594]	Mycobacterium sp. 	ref_mOTU_v2_0594	0	0	0	0	1
Mycobacterium sp. [ref_mOTU_v2_0708]	Mycobacterium sp. 	ref_mOTU_v2_0708	0	0	0	0	1
Mycobacterium sp. [ref_mOTU_v2_1280]	Mycobacterium sp. 	ref_mOTU_v2_1280	0	0	0	0	1
Mycobacterium sp. 141 [ref_mOTU_v2_1831]	Mycobacterium sp. 141 	ref_mOTU_v2_1831	0	0	0	0	1
Mycobacterium sp. 155 [ref_mOTU_v2_2341]	Mycobacterium sp. 155 	ref_mOTU_v2_2341	0	0	0	0	1
Mycobacterium sp. JS623 [ref_mOTU_v2_4851]	Mycobacterium sp. JS623 	ref_mOTU_v2_4851	0	0	0	0	1
Mycobacterium sp. UM_WGJ [ref_mOTU_v2_3147]	Mycobacterium sp. UM_WGJ 	ref_mOTU_v2_3147	0	0	0	0	1
Mycobacterium sp. UM_WWY [ref_mOTU_v2_3148]	Mycobacterium sp. UM_WWY 	ref_mOTU_v2_3148	0	0	0	0	1
Mycobacterium sp. UNC280MFTsu5.1 [ref_mOTU_v2_3440]	Mycobacterium sp. UNC280MFTsu5.1 	ref_mOTU_v2_3440	0	0	0	0	1
Mycobacterium sp. URHB0044 [ref_mOTU_v2_3172]	Mycobacterium sp. URHB0044 	ref_mOTU_v2_3172	0	0	0	0	1
Mycobacterium sp. URHD0025 [ref_mOTU_v2_2978]	Mycobacterium sp. URHD0025 	ref_mOTU_v2_2978	0	0	0	0	1
Mycobacterium thermoresistibile [ref_mOTU_v2_1709]	Mycobacterium thermoresistibile 	ref_mOTU_v2_1709	0	0	0	0	1
Mycobacterium triplex [ref_mOTU_v2_4330]	Mycobacterium triplex 	ref_mOTU_v2_4330	0	0	0	0	1
Mycobacterium tusciae [ref_mOTU_v2_4852]	Mycobacterium tusciae 	ref_mOTU_v2_4852	0	0	0	0	1
Mycobacterium vaccae [ref_mOTU_v2_2467]	Mycobacterium vaccae 	ref_mOTU_v2_2467	0	0	0	0	1
Mycobacterium vulneris [ref_mOTU_v2_4473]	Mycobacterium vulneris 	ref_mOTU_v2_4473	0	0	0	0	1
Mycobacterium xenopi [ref_mOTU_v2_0635]	Mycobacterium xenopi 	ref_mOTU_v2_0635	0	0	0	0	1
Mycoplasma agalactiae [ref_mOTU_v2_1294]	Mycoplasma agalactiae 	ref_mOTU_v2_1294	0	0	1	0	0
Mycoplasma agalactiae [ref_mOTU_v2_1782]	Mycoplasma agalactiae 	ref_mOTU_v2_1782	0	0	0	1	0
Mycoplasma alkalescens [ref_mOTU_v2_2445]	Mycoplasma alkalescens 	ref_mOTU_v2_2445	0	0	0	1	0
Mycoplasma alligatoris [ref_mOTU_v2_4909]	Mycoplasma alligatoris 	ref_mOTU_v2_4909	0	0	1	0	0
Mycoplasma anatis [ref_mOTU_v2_1610]	Mycoplasma anatis 	ref_mOTU_v2_1610	0	0	1	0	0
Mycoplasma arginini [ref_mOTU_v2_2447]	Mycoplasma arginini 	ref_mOTU_v2_2447	0	0	0	1	0
Mycoplasma arthritidis [ref_mOTU_v2_3819]	Mycoplasma arthritidis 	ref_mOTU_v2_3819	0	0	1	0	0
Mycoplasma auris [ref_mOTU_v2_2444]	Mycoplasma auris 	ref_mOTU_v2_2444	0	0	0	1	0
Mycoplasma bovigenitalium [ref_mOTU_v2_2446]	Mycoplasma bovigenitalium 	ref_mOTU_v2_2446	0	0	0	1	0
Mycoplasma bovis [ref_mOTU_v2_1047]	Mycoplasma bovis 	ref_mOTU_v2_1047	0	0	1	0	0
Mycoplasma bovoculi [ref_mOTU_v2_4894]	Mycoplasma bovoculi 	ref_mOTU_v2_4894	0	0	1	0	0
Mycoplasma californicum [ref_mOTU_v2_3769]	Mycoplasma californicum 	ref_mOTU_v2_3769	0	0	0	0	1
Mycoplasma canis [ref_mOTU_v2_0424]	Mycoplasma canis 	ref_mOTU_v2_0424	0	0	1	0	0
Mycoplasma capricolum/leachii [ref_mOTU_v2_0732]	Mycoplasma capricolum/leachii 	ref_mOTU_v2_0732	0	0	1	0	0
Mycoplasma columbinum [ref_mOTU_v2_1622]	Mycoplasma columbinum 	ref_mOTU_v2_1622	0	0	1	0	0
Mycoplasma conjunctivae [ref_mOTU_v2_4284]	Mycoplasma conjunctivae 	ref_mOTU_v2_4284	0	0	1	0	0
Mycoplasma crocodyli [ref_mOTU_v2_4386]	Mycoplasma crocodyli 	ref_mOTU_v2_4386	0	0	1	0	0
Mycoplasma cynos [ref_mOTU_v2_2773]	Mycoplasma cynos 	ref_mOTU_v2_2773	0	0	1	0	0
Mycoplasma feriruminatoris [ref_mOTU_v2_2424]	Mycoplasma feriruminatoris 	ref_mOTU_v2_2424	0	0	1	0	0
Mycoplasma fermentans [ref_mOTU_v2_1413]	Mycoplasma fermentans 	ref_mOTU_v2_1413	0	0	1	0	0
Mycoplasma flocculare [ref_mOTU_v2_1555]	Mycoplasma flocculare 	ref_mOTU_v2_1555	0	0	1	0	0
Mycoplasma gallisepticum [ref_mOTU_v2_0082]	Mycoplasma gallisepticum 	ref_mOTU_v2_0082	0	0	1	0	0
Mycoplasma genitalium [ref_mOTU_v2_1307]	Mycoplasma genitalium 	ref_mOTU_v2_1307	0	0	1	0	0
Mycoplasma haemocanis [ref_mOTU_v2_1789]	Mycoplasma haemocanis 	ref_mOTU_v2_1789	0	0	1	0	0
Mycoplasma haemofelis [ref_mOTU_v2_1512]	Mycoplasma haemofelis 	ref_mOTU_v2_1512	0	0	1	0	0
Mycoplasma hominis [ref_mOTU_v2_0958]	Mycoplasma hominis 	ref_mOTU_v2_0958	0	0	0	0	1
Mycoplasma hyopneumoniae [ref_mOTU_v2_0413]	Mycoplasma hyopneumoniae 	ref_mOTU_v2_0413	0	0	1	0	0
Mycoplasma hyorhinis [ref_mOTU_v2_0432]	Mycoplasma hyorhinis 	ref_mOTU_v2_0432	0	0	1	0	0
Mycoplasma hyosynoviae [ref_mOTU_v2_1331]	Mycoplasma hyosynoviae 	ref_mOTU_v2_1331	0	0	1	0	0
Mycoplasma imitans [ref_mOTU_v2_3254]	Mycoplasma imitans 	ref_mOTU_v2_3254	0	0	1	0	0
Mycoplasma iowae [ref_mOTU_v2_0210]	Mycoplasma iowae 	ref_mOTU_v2_0210	0	0	1	0	0
Mycoplasma mobile [ref_mOTU_v2_3857]	Mycoplasma mobile 	ref_mOTU_v2_3857	0	0	1	0	0
Mycoplasma mycoides [ref_mOTU_v2_0733]	Mycoplasma mycoides 	ref_mOTU_v2_0733	1	0	0	0	0
Mycoplasma ovipneumoniae [ref_mOTU_v2_2448]	Mycoplasma ovipneumoniae 	ref_mOTU_v2_2448	0	0	0	1	0
Mycoplasma penetrans [ref_mOTU_v2_3869]	Mycoplasma penetrans 	ref_mOTU_v2_3869	0	0	1	0	0
Mycoplasma pneumoniae [ref_mOTU_v2_0405]	Mycoplasma pneumoniae 	ref_mOTU_v2_0405	0	0	1	0	0
Mycoplasma pulmonis [ref_mOTU_v2_3870]	Mycoplasma pulmonis 	ref_mOTU_v2_3870	0	0	1	0	0
Mycoplasma putrefaciens [ref_mOTU_v2_1006]	Mycoplasma putrefaciens 	ref_mOTU_v2_1006	0	0	1	0	0
Mycoplasma sp. CAG:472 [meta_mOTU_v2_6403]	Mycoplasma sp. CAG:472 	meta_mOTU_v2_6403	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma sp. CAG:611 [meta_mOTU_v2_5692]	Mycoplasma sp. CAG:611 	meta_mOTU_v2_5692	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma sp. CAG:776 [meta_mOTU_v2_5406]	Mycoplasma sp. CAG:776 	meta_mOTU_v2_5406	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma sp. CAG:776 [meta_mOTU_v2_6844]	Mycoplasma sp. CAG:776 	meta_mOTU_v2_6844	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma sp. CAG:877 [meta_mOTU_v2_6682]	Mycoplasma sp. CAG:877 	meta_mOTU_v2_6682	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma sp. CAG:956 [meta_mOTU_v2_7596]	Mycoplasma sp. CAG:956 	meta_mOTU_v2_7596	#N/A	#N/A	#N/A	#N/A	#N/A
Mycoplasma synoviae [ref_mOTU_v2_3844]	Mycoplasma synoviae 	ref_mOTU_v2_3844	0	0	1	0	0
Mycoplasma yeatsii [ref_mOTU_v2_2449]	Mycoplasma yeatsii 	ref_mOTU_v2_2449	0	0	0	1	0
Myroides injenensis [ref_mOTU_v2_1569]	Myroides injenensis 	ref_mOTU_v2_1569	0	0	0	0	0
Myroides odoratimimus [ref_mOTU_v2_1165]	Myroides odoratimimus 	ref_mOTU_v2_1165	0	0	0	0	0
Myroides odoratus [ref_mOTU_v2_1521]	Myroides odoratus 	ref_mOTU_v2_1521	0	0	0	0	0
Myxococcus fulvus [ref_mOTU_v2_4342]	Myxococcus fulvus 	ref_mOTU_v2_4342	0	0	0	0	1
Myxococcus hansupus [ref_mOTU_v2_2969]	Myxococcus hansupus 	ref_mOTU_v2_2969	0	0	0	0	0
Myxococcus stipitatus [ref_mOTU_v2_2861]	Myxococcus stipitatus 	ref_mOTU_v2_2861	0	0	0	0	0
Myxococcus xanthus [ref_mOTU_v2_0757]	Myxococcus xanthus 	ref_mOTU_v2_0757	0	0	0	0	1
